date,total cases,total deaths,new cases,new deaths
2020-07-31,4571669,153862,69088,1429
2020-08-01,4628497,154917,56828,1055
2020-08-02,4679291,155337,50794,420
2020-08-03,4726775,155945,47484,608
2020-08-04,4780324,157301,53549,1356
2020-08-05,4834047,158554,53723,1253
2020-08-06,4891561,159625,57514,1071
2020-08-07,4952718,160981,61157,1356
2020-08-08,5007958,161947,55240,966
2020-08-09,5056438,162486,48480,539
2020-08-10,5103611,163023,47173,537
2020-08-11,5156968,164474,53357,1451
2020-08-12,5211246,165952,54278,1478
2020-08-13,5265307,167165,54061,1213
2020-08-14,5324784,168341,59477,1176
2020-08-15,5375527,169400,50743,1059
2020-08-16,5417664,169914,42137,514
2020-08-17,5455187,170449,37523,535
2020-08-18,5498420,171798,43233,1349
2020-08-19,5541433,173093,43013,1295
2020-08-20,5587462,174136,46029,1043
2020-08-21,5636491,175297,49029,1161
2020-08-22,5681517,176247,45026,950
2020-08-23,5713850,176693,32333,446
2020-08-24,5754254,177197,40404,504
2020-08-25,5793437,178410,39183,1213
2020-08-26,5838756,179603,45319,1193
2020-08-27,5884366,180729,45610,1126
2020-08-28,5930930,181739,46564,1010
2020-08-29,5975540,182610,44610,871
2020-08-30,6008970,182984,33430,374
2020-08-31,6045455,183472,36485,488
2020-09-01,6089504,184563,44049,1091
2020-09-02,6121948,185639,32444,1076
2020-09-03,6168342,186717,46394,1078
2020-09-04,6220446,187697,52104,980
2020-09-05,6262700,188409,42254,712
2020-09-06,6292699,188820,29999,411
2020-09-07,6317865,189083,25166,263
2020-09-08,6346806,189541,28941,458
2020-09-09,6380138,190716,33332,1175
2020-09-10,6418198,191631,38060,915
2020-09-11,6465766,192858,47568,1227
2020-09-12,6504870,193559,39104,701
2020-09-13,6538213,193958,33343,399
2020-09-14,6575100,194408,36887,450
2020-09-15,6614317,195689,39217,1281
2020-09-16,6653585,196686,39268,997
2020-09-17,6698895,197535,45310,849
2020-09-18,6747782,198484,48887,949
2020-09-19,6789593,199154,41811,670
2020-09-20,6825949,199367,36356,213
2020-09-21,6880899,199797,54950,430
2020-09-22,6918290,200738,37391,941
2020-09-23,6959841,201828,41551,1090
2020-09-24,7005043,202713,45202,885
2020-09-25,7059624,203566,54581,853
2020-09-26,7102321,204335,42697,769
2020-09-27,7139619,204602,37298,267
2020-09-28,7176979,204952,37360,350
2020-09-29,7220676,205878,43697,926
2020-09-30,7262734,206852,42058,974
2020-10-01,7309152,207699,46418,847
2020-10-02,7362732,208564,53580,865
2020-10-03,7410511,209273,47779,709
2020-10-04,7445574,209606,35063,333
2020-10-05,7507986,210035,62412,429
2020-10-06,7550848,210756,42862,721
2020-10-07,7603865,211752,53017,996
2020-10-08,7660248,212680,56383,928
2020-10-09,7719210,213595,58962,915
2020-10-10,7770858,214187,51648,592
2020-10-11,7815641,214606,44783,419
2020-10-12,7863657,214957,48016,351
2020-10-13,7918051,215783,54394,826
2020-10-14,7977904,216792,59853,1009
2020-10-15,8043257,217585,65353,793
2020-10-16,8113720,218476,70463,891
2020-10-17,8166481,219154,52761,678
2020-10-18,8214363,219541,47882,387
2020-10-19,8279803,220058,65440,517
2020-10-20,8340397,220987,60594,929
2020-10-21,8404634,222195,64237,1208
2020-10-22,8479762,223023,75128,828
2020-10-23,8565059,223953,85297,930
2020-10-24,8643640,224825,78581,872
2020-10-25,8703355,225164,59715,339
2020-10-26,8777986,225701,74631,537
2020-10-27,8852373,226684,74387,983
2020-10-28,8934258,227702,81885,1018
2020-10-29,9024915,228706,90657,1004
2020-10-30,9124783,229674,99868,968
2020-10-31,9208993,230512,84210,838
2020-11-01,9283188,230940,74195,428
2020-11-02,9377201,231480,94013,540
2020-11-03,9469617,232610,92416,1130
2020-11-04,9577697,234226,108080,1616
2020-11-05,9699030,235334,121333,1108
2020-11-06,9831853,236582,132823,1248
2020-11-07,9957785,237589,125932,1007
2020-11-08,10061201,238053,103416,464
2020-11-09,10191642,238798,130441,745
2020-11-10,10331392,240262,139750,1464
2020-11-11,10474277,241693,142885,1431
2020-11-12,10637917,242865,163640,1172
2020-11-13,10819414,244255,181497,1390
2020-11-14,10978447,245465,159033,1210
2020-11-15,11113634,246088,135187,623
2020-11-16,11280194,246884,166560,796
2020-11-17,11441828,248491,161634,1607
2020-11-18,11614108,250415,172280,1924
2020-11-19,11801612,252376,187504,1961
2020-11-20,12000476,254333,198864,1957
2020-11-21,12172410,255758,171934,1425
2020-11-22,12313208,256601,140798,843
2020-11-23,12492821,257639,179613,1038
2020-11-24,12670683,259848,177862,2209
2020-11-25,12851273,262161,180590,2313
2020-11-26,12954272,263339,102999,1178
2020-11-27,13160115,264751,205843,1412
2020-11-28,13311523,265943,151408,1192
2020-11-29,13447648,266761,136125,818
2020-11-30,13615275,268031,167627,1270
2020-12-01,13799511,270639,184236,2608
2020-12-02,14000683,273525,201172,2886
2020-12-03,14218409,276381,217726,2856
2020-12-04,14449778,279018,231369,2637
2020-12-05,14655487,281208,205709,2190
2020-12-06,14827411,282319,171924,1111
2020-12-07,15031907,283853,204496,1534
2020-12-08,15251624,286674,219717,2821
2020-12-09,15471350,289830,219726,3156
2020-12-10,15696555,292771,225205,2941
2020-12-11,15977087,295726,280532,2955
2020-12-12,16184622,297981,207535,2255
2020-12-13,16368842,299338,184220,1357
2020-12-14,16569737,301016,200895,1678
2020-12-15,16772856,304041,203119,3025
2020-12-16,17017682,307652,244826,3611
2020-12-17,17255383,310950,237701,3298
2020-12-18,17506574,313820,251191,2870
2020-12-19,17700479,316381,193905,2561
2020-12-20,17880392,317810,179913,1429
2020-12-21,18081910,319773,201518,1963
2020-12-22,18283522,323012,201612,3239
2020-12-23,18511286,326424,227764,3412
2020-12-24,18704812,329248,193526,2824
2020-12-25,18805766,330377,100954,1129
2020-12-26,19022628,332023,216862,1646
2020-12-27,19174718,333253,152090,1230
2020-12-28,19363727,335152,189009,1899
2020-12-29,19564756,338780,201029,3628
2020-12-30,19793717,342588,228961,3808
2020-12-31,20024710,346050,230993,3462
2021-01-01,20171964,347970,147254,1920
2021-01-02,20463577,350343,291613,2373
2021-01-03,20665361,351694,201784,1351
2021-01-04,20917191,353743,251830,2049
2021-01-05,21152184,357432,234993,3689
2021-01-06,21408154,361396,255970,3964
2021-01-07,21688491,365507,280337,4111
2021-01-08,21989270,369402,300779,3895
2021-01-09,22241190,372663,251920,3261
2021-01-10,22449490,374440,208300,1777
2021-01-11,22675806,376488,226316,2048
2021-01-12,22905783,380894,229977,4406
2021-01-13,23135111,384824,229328,3930
2021-01-14,23374612,388804,239501,3980
2021-01-15,23614464,392553,239852,3749
2021-01-16,23816662,395894,202198,3341
2021-01-17,23986756,397624,170094,1730
2021-01-18,24127890,399065,141134,1441
2021-01-19,24314829,401836,186939,2771
2021-01-20,24500317,406216,185488,4380
2021-01-21,24690800,410351,190483,4135
2021-01-22,24882367,414082,191567,3731
2021-01-23,25050285,417404,167918,3322
2021-01-24,25179961,419219,129676,1815
2021-01-25,25336537,421126,156576,1907
2021-01-26,25487166,425223,150629,4097
2021-01-27,25642939,429326,155773,4103
2021-01-28,25809117,433194,166178,3868
2021-01-29,25973732,436794,164615,3600
2021-01-30,26107532,439435,133800,2641
2021-01-31,26221333,441299,113801,1864
2021-02-01,26363188,443249,141855,1950
2021-02-02,26478424,446860,115236,3611
2021-02-03,26598610,450703,120186,3843
2021-02-04,26724243,455820,125633,5117
2021-02-05,26853745,459390,129502,3570
2021-02-06,26958695,462052,104950,2662
2021-02-07,27045977,463353,87282,1301
2021-02-08,27138963,464936,92986,1583
2021-02-09,27235341,468106,96378,3170
2021-02-10,27330314,471360,94973,3254
2021-02-11,27435949,475238,105635,3878
2021-02-12,27535578,480701,99629,5463
2021-02-13,27620237,484073,84659,3372
2021-02-14,27684018,485154,63781,1081
2021-02-15,27739291,486148,55273,994
2021-02-16,27803826,487855,64535,1707
2021-02-17,27873987,490326,70161,2471
2021-02-18,27945779,492951,71792,2625
2021-02-19,28023791,495572,78012,2621
2021-02-20,28093512,497403,69721,1831
2021-02-21,28148692,498650,55180,1247
2021-02-22,28208159,500104,59467,1454
2021-02-23,28280068,502432,71909,2328
2021-02-24,28354261,505642,74193,3210
2021-02-25,28432143,508107,77882,2465
2021-02-26,28510461,510283,78318,2176
2021-02-27,28573136,511850,62675,1567
2021-02-28,28624042,512979,50906,1129
2021-03-01,28680738,514404,56696,1425
2021-03-02,28738382,515710,57644,1306
2021-03-03,28804995,518079,66613,2369
2021-03-04,28872278,520028,67283,1949
2021-03-05,28937976,522511,65698,2483
2021-03-06,28994562,523970,56586,1459
2021-03-07,29034627,524646,40065,676
2021-03-08,29129140,525466,94513,820
2021-03-09,29185027,527351,55887,1885
2021-03-10,29243222,528825,58195,1474
2021-03-11,29305608,530349,62386,1524
2021-03-12,29369776,532054,64168,1705
2021-03-13,29419333,533927,49557,1873
2021-03-14,29457322,534496,37989,569
2021-03-15,29514486,535245,57164,749
2021-03-16,29569017,536490,54531,1245
2021-03-17,29627949,537667,58932,1177
2021-03-18,29688415,539225,60466,1558
2021-03-19,29749038,540739,60623,1514
2021-03-20,29803463,541511,54425,772
2021-03-21,29837656,541959,34193,448
2021-03-22,29892372,542607,54716,648
2021-03-23,29949119,543500,56747,893
2021-03-24,30029022,545090,79903,1590
2021-03-25,30098132,546360,69110,1270
2021-03-26,30172633,547620,74501,1260
2021-03-27,30233334,548400,60701,780
2021-03-28,30277849,548890,44515,490
2021-03-29,30348588,549575,70739,685
2021-03-30,30410820,550522,62232,947
2021-03-31,30478758,551657,67938,1135
2021-04-01,30555951,552614,77193,957
2021-04-02,30624540,553570,68589,956
2021-04-03,30688676,554323,64136,753
2021-04-04,30725499,554595,36823,272
2021-04-05,30802093,555125,76594,530
2021-04-06,30864065,556034,61972,909
2021-04-07,30937160,558605,73095,2571
2021-04-08,31017610,559607,80450,1002
2021-04-09,31099193,560553,81583,946
2021-04-10,31163951,561257,64758,704
2021-04-11,31211928,561558,47977,301
2021-04-12,31283860,562023,71932,465
2021-04-13,31361175,563006,77315,983
2021-04-14,31436928,563941,75753,935
2021-04-15,31510622,564858,73694,917
2021-04-16,31588976,565793,78354,935
2021-04-17,31642850,566470,53874,677
2021-04-18,31684251,566828,41401,358
2021-04-19,31754513,567313,70262,485
2021-04-20,31815535,568145,61022,832
2021-04-21,31878030,568985,62495,840
2021-04-22,31944272,569896,66242,911
2021-04-23,32008056,570769,63784,873
2021-04-24,32058524,571494,50468,725
2021-04-25,32092115,571776,33591,282
2021-04-26,32139450,572255,47335,479
2021-04-27,32191325,572968,51875,713
2021-04-28,32246143,573902,54818,934
2021-04-29,32303725,574776,57582,874
2021-04-30,32362242,575636,58517,860
2021-05-01,32407001,576351,44759,715
2021-05-02,32436634,576663,29633,312
2021-05-03,32486577,577122,49943,459
2021-05-04,32527532,578029,40955,907
2021-05-05,32572251,578805,44719,776
2021-05-06,32619943,579637,47692,832
2021-05-07,32667435,580449,47492,812
2021-05-08,32701101,581053,33666,604
2021-05-09,32723429,581299,22328,246
2021-05-10,32759986,581669,36557,370
2021-05-11,32794028,582362,34042,693
2021-05-12,32829512,583210,35484,848
2021-05-13,32867945,583990,38433,780
2021-05-14,32908916,584722,40971,732
2021-05-15,32937966,585281,29050,559
2021-05-16,32954676,585573,16710,292
2021-05-17,32983883,585957,29207,384
2021-05-18,33011746,586824,27863,867
2021-05-19,33040552,587499,28806,675
2021-05-20,33070165,588153,29613,654
2021-05-21,33099177,588849,29012,696
2021-05-22,33117493,589328,18316,479
2021-05-23,33131644,589517,14151,189
2021-05-24,33157272,589934,25628,417
2021-05-25,33180090,590634,22818,700
2021-05-26,33203492,591600,23402,966
2021-05-27,33231235,592941,27743,1341
2021-05-28,33252936,593700,21701,759
2021-05-29,33264467,594039,11531,339
2021-05-30,33271910,594170,7443,131
2021-05-31,33277467,594320,5557,150
2021-06-01,33300075,594840,22608,520
2021-06-02,33316955,595434,16880,594
2021-06-03,33336460,596050,19505,616
2021-06-04,33312467,596189,0,139
2021-06-05,33322914,596564,10447,375
2021-06-06,33329061,596816,6147,252
2021-06-07,33343797,597112,14736,296
2021-06-08,33356764,597487,12967,375
2021-06-09,33375832,597923,19068,436
2021-06-10,33389856,598338,14024,415
2021-06-11,33415867,599076,26011,738
2021-06-12,33424181,599246,8314,170
2021-06-13,33429097,599341,4916,95
2021-06-14,33441920,599486,12823,145
2021-06-15,33452809,599875,10889,389
2021-06-16,33465562,600244,12753,369
